Symbol,Chart Pattern,BullishBearish,Start,End,Industry
HAYN,Pennant,0,03/17/2023,03/30/2023,Building Materials
HNI,"Triangle, symmetrical",0,03/08/2023,03/24/2023,Furn/Home Furnishings
IEX,"Double Bottom, Eve and Adam",0,03/15/2023,03/24/2023,Machinery
ITGR,Diamond top,0,02/28/2023,03/21/2023,Electronics
KMT,"Double Bottom, Adam and Adam",0,03/17/2023,03/24/2023,Metal Fabricating
LH,"Double Bottom, Adam and Adam",0,03/17/2023,03/24/2023,Medical Services
LMT,"Triangle, symmetrical",0,03/14/2023,03/30/2023,Aerospace/Defense
MANH,Pipe bottom,0,03/06/2023,03/13/2023,IT Services
MLM,Pipe bottom,0,03/13/2023,03/20/2023,Cement and Aggregates
MDC,Pipe bottom,0,03/06/2023,03/13/2023,Homebuilding
MRCY,Pipe bottom,0,03/13/2023,03/20/2023,Computers and Peripherals
NFG,"Double Bottom, Eve and Adam",0,03/16/2023,03/24/2023,Natural Gas (Diversified)
NOC,"Double Bottom, Eve and Eve",0,03/15/2023,03/23/2023,Aerospace/Defense
OGE,"Double Bottom, Adam and Adam",0,03/10/2023,03/24/2023,Electric Utility (Central)
OLN,Pipe bottom,0,03/13/2023,03/20/2023,Chemical (Basic)
PAYX,"Double Bottom, Eve and Adam",0,03/16/2023,03/23/2023,IT Services
PXD,Pipe bottom,0,03/13/2023,03/20/2023,Petroleum (Producing)
PGR,Pipe bottom,0,03/13/2023,03/20/2023,Insurance (Prop/Casualty)
PEG,"Double Bottom, Adam and Adam",0,03/13/2023,03/23/2023,Electric Utility (East)
KWR,"Double Bottom, Eve and Adam",0,03/17/2023,03/24/2023,Chemical (Specialty)
RL,"Double Bottom, Adam and Adam",0,03/15/2023,03/24/2023,Apparel
RMBS,Pipe bottom,0,01/30/2023,02/06/2023,Semiconductor Cap Equip.
RGA,Pipe bottom,0,03/13/2023,03/20/2023,Insurance (Life)
ROK,"Double Bottom, Eve and Adam",0,03/17/2023,03/24/2023,Diversified Co.
ROL,"Double Bottom, Adam and Adam",0,03/01/2023,03/13/2023,Industrial Services
SAIC,"Double Bottom, Eve and Adam",0,03/17/2023,03/24/2023,IT Services
SMTC,Dead-cat bounce,0,03/30/2023,03/30/2023,Semiconductor Cap Equip.
SKYW,Pipe bottom,0,03/13/2023,03/20/2023,Air Transport
SCCO,Pipe bottom,0,03/13/2023,03/20/2023,Metals and Mining (Div.)
LUV,"Double Bottom, Adam and Adam",0,03/15/2023,03/24/2023,Air Transport
SUM,"Double Bottom, Eve and Adam",0,03/16/2023,03/24/2023,Cement and Aggregates
SRDX,Pipe bottom,0,03/13/2023,03/20/2023,Medical Supplies
TPR,"Double Bottom, Adam and Adam",0,03/13/2023,03/27/2023,Apparel
TRGP,"Double Bottom, Adam and Adam",0,03/16/2023,03/24/2023,Natural Gas (Diversified)
TDOC,"Triangle, symmetrical",0,03/20/2023,03/30/2023,Healthcare Information
TKR,"Double Bottom, Adam and Adam",0,03/17/2023,03/24/2023,Metal Fabricating
TOL,"Triangle, symmetrical",0,02/21/2023,03/30/2023,Homebuilding
TDG,"Double Bottom, Eve and Adam",0,03/15/2023,03/24/2023,Aerospace/Defense
RIG,Pipe bottom,0,03/13/2023,03/20/2023,Oilfield Svcs/Equipment
VFC,"Double Bottom, Adam and Adam",0,03/15/2023,03/24/2023,Apparel
VMC,"Double Bottom, Eve and Adam",0,03/15/2023,03/24/2023,Cement and Aggregates
WLK,Pipe bottom,0,03/13/2023,03/20/2023,Chemical (Basic)
WWD,"Double Bottom, Adam and Adam",0,03/17/2023,03/24/2023,Precision Instrument
DOX,"Scallop, descending",0,02/15/2023,03/21/2023,IT Services
BAH,"Scallop, descending",0,03/06/2023,03/21/2023,IT Services
CX,Pipe top,0,02/27/2023,03/06/2023,Cement and Aggregates
CHKP,Triple bottom,0,02/17/2023,03/13/2023,E-Commerce
CHS,"Double Top, Eve and Adam",0,03/03/2023,03/16/2023,Apparel
GFS,Triple bottom,0,02/23/2023,03/13/2023,Semiconductor
GOOGL,"Double Bottom, Adam and Eve",0,02/24/2023,03/13/2023,Internet
IIIN,"Triangle, symmetrical",0,01/17/2023,03/06/2023,Building Materials
PODD,Triple bottom,0,02/22/2023,03/10/2023,Medical Supplies
LMT,"Double Top, Adam and Eve",0,02/13/2023,03/08/2023,Aerospace/Defense
MAS,"Double Top, Adam and Eve",0,02/02/2023,02/09/2023,Building Materials
NEU,"Double Bottom, Adam and Eve",0,02/24/2023,03/15/2023,Chemical (Specialty)
PEN,Pipe bottom,0,03/06/2023,03/13/2023,Medical Supplies
PHM,"Double Bottom, Eve and Adam",0,02/21/2023,03/13/2023,Homebuilding
REGN,Ugly double bottom,0,01/09/2023,02/17/2023,Biotechnology
SMAR,Pipe bottom,0,03/06/2023,03/13/2023,E-Commerce
SNPS,"Double Bottom, Eve and Adam",0,02/21/2023,03/13/2023,Computer Software and Svcs
TFX,Pipe bottom,0,03/06/2023,03/13/2023,Diversified Co.
VRTX,"Double Bottom, Eve and Eve",0,02/27/2023,03/08/2023,Biotechnology
SOXX,Triple bottom,0,02/22/2023,03/13/2023,Semiconductor
MGK,Diamond bottom,0,02/27/2023,03/15/2023,None
ADBE,"Double Bottom, Eve and Adam",0,02/24/2023,03/13/2023,Computer Software and Svcs
AA,Pipe top,0,02/27/2023,03/06/2023,Aerospace/Defense
ALGT,Triple top,0,02/02/2023,03/03/2023,Air Transport
AIG,"Double Top, Adam and Eve",0,12/13/2022,01/09/2023,Insurance (Prop/Casualty)
ATR,Pipe top,0,02/27/2023,03/06/2023,Packaging and Container
AVA,"Double Bottom, Adam and Adam",0,03/01/2023,03/10/2023,Electric Utility (West)
BMI,Pipe top,0,02/27/2023,03/06/2023,Precision Instrument
BKNG,Pipe top,0,02/27/2023,03/06/2023,Internet
BLDR,Pipe top,0,02/27/2023,03/06/2023,Retail Building Supply
CAL,"Double Top, Adam and Adam",0,02/02/2023,02/21/2023,Shoe
CNP,"Double Bottom, Adam and Adam",0,03/01/2023,03/10/2023,Electric Utility (Central)
CENX,Pipe top,0,02/27/2023,03/06/2023,Metals and Mining (Div.)
CLF,Pipe top,0,02/27/2023,03/06/2023,Metals and Mining (Div.)
COTY,"Double Top, Adam and Eve",0,02/14/2023,03/06/2023,Toiletries/Cosmetics
CCRN,Pipe top,0,01/30/2023,02/06/2023,Human Resources
^DJU,"Double Bottom, Adam and Adam",0,03/02/2023,03/10/2023,None
DRQ,Pipe top,0,02/27/2023,03/06/2023,Oilfield Svcs/Equipment
DUK,"Double Bottom, Adam and Adam",0,03/02/2023,03/10/2023,Electric Utility (East)
EXP,Pipe top,0,02/27/2023,03/06/2023,Cement and Aggregates
FISV,"Double Top, Eve and Eve",0,02/15/2023,03/06/2023,IT Services
FTV,Head-and-shoulders top,0,01/17/2023,03/06/2023,Industrial Services
HSC,Falling wedge,0,03/07/2023,03/16/2023,Diversified Co.
HAYN,Pipe top,0,02/27/2023,03/06/2023,Building Materials
HELE,Head-and-shoulders complex top,0,01/09/2023,03/07/2023,Toiletries/Cosmetics
HP,Pipe top,0,02/27/2023,03/06/2023,Petroleum (Producing)
IEX,"Double Top, Adam and Adam",0,02/17/2023,03/06/2023,Machinery
ILMN,Triple bottom,0,02/10/2023,03/10/2023,Biotechnology
IBP,Pipe top,0,02/27/2023,03/06/2023,Retail Building Supply
IPI,"Double Top, Eve and Eve",0,02/16/2023,03/03/2023,Chemical (Diversified)
ISRG,"Double Bottom, Adam and Adam",0,03/02/2023,03/13/2023,Medical Supplies
KMT,Pipe top,0,01/30/2023,02/06/2023,Metal Fabricating
LLY,"Double Bottom, Eve and Eve",0,03/01/2023,03/08/2023,Drug
L,Head-and-shoulders top,0,01/31/2023,02/27/2023,Insurance (Prop/Casualty)
MTRN,Pipe top,0,02/27/2023,03/06/2023,Metals and Mining (Div.)
MGEE,"Triangle, descending",0,01/20/2023,03/10/2023,Electric Utility (Central)
MCO,Diamond bottom,0,02/24/2023,03/16/2023,Information Services
MOS,Pipe top,0,02/27/2023,03/06/2023,Chemical (Diversified)
MUR,Three Falling Peaks,0,01/27/2023,03/03/2023,Petroleum (Integrated)
NJR,Broadening top,0,02/14/2023,03/16/2023,Natural Gas (Distributor)
JWN,Pipe top,0,01/30/2023,02/06/2023,Retail Store
NOC,Head-and-shoulders top,0,02/13/2023,03/08/2023,Aerospace/Defense
OXY,Three Falling Peaks,0,01/27/2023,03/08/2023,Petroleum (Producing)
PNW,Head-and-shoulders complex bottom,0,01/24/2023,03/01/2023,Electric Utility (West)
QTWO,Dead-cat bounce,0,03/13/2023,03/13/2023,E-Commerce
RLI,Pipe top,0,02/27/2023,03/06/2023,Insurance (Prop/Casualty)
RES,Pipe top,0,02/27/2023,03/06/2023,Oilfield Svcs/Equipment
R,Head-and-shoulders top,0,02/02/2023,03/01/2023,Trucking/Transp. Leasing
SCHW,Dead-cat bounce,0,03/08/2023,03/13/2023,Securities Brokerage
SXI,Pipe top,0,02/27/2023,03/06/2023,Diversified Co.
TDY,Ugly double bottom,0,06/17/2022,07/14/2022,Aerospace/Defense
TER,"Broadening top, right-angled and ascending",0,02/22/2023,03/16/2023,Semiconductor Cap Equip.
TDG,Triple top,0,02/09/2023,03/07/2023,Aerospace/Defense
RIG,Pipe top,0,02/27/2023,03/06/2023,Oilfield Svcs/Equipment
TRV,Triple top,0,01/06/2023,01/25/2023,Insurance (Prop/Casualty)
UHAL,Pipe top,0,01/30/2023,02/06/2023,Trucking/Transp. Leasing
SLCA,Pipe top,0,02/27/2023,03/06/2023,Metals and Mining (Div.)
WSO,Head-and-shoulders top,0,02/03/2023,03/06/2023,Retail Building Supply
WERN,Pipe top,0,01/30/2023,02/06/2023,Trucking/Transp. Leasing
WEX,Pipe top,0,02/06/2023,02/13/2023,Information Services
WSC,"Double Top, Adam and Eve",0,02/22/2023,03/03/2023,Industrial Services
XEL,"Double Bottom, Adam and Adam",0,03/01/2023,03/10/2023,Electric Utility (West)
XLK,"Double Bottom, Eve and Adam",0,03/02/2023,03/13/2023,IT Services
AYX,"Double Top, Eve and Adam",0,02/14/2023,03/06/2023,Computer Software and Svcs
ANIK,Dead-cat bounce,0,03/07/2023,03/07/2023,Biotechnology
APOG,"Double Top, Eve and Adam",0,02/03/2023,03/03/2023,Building Materials
AAPL,Pipe bottom,0,02/21/2023,02/27/2023,Computers and Peripherals
ARCB,"Roof, inverted",0,02/08/2023,03/09/2023,Trucking/Transp. Leasing
AVY,"Triangle, descending",0,02/07/2023,03/06/2023,Packaging and Container
AXS,"Double Top, Adam and Adam",0,01/27/2023,02/09/2023,Insurance (Prop/Casualty)
RE,"Double Top, Adam and Adam",0,02/09/2023,03/01/2023,Insurance (Prop/Casualty)
EXPD,Pipe bottom,0,02/21/2023,02/27/2023,Air Transport
FISV,Diamond top,0,02/08/2023,03/01/2023,IT Services
GNW,"Double Top, Adam and Eve",0,02/15/2023,02/27/2023,Insurance (Life)
GPN,"Double Top, Adam and Eve",0,02/02/2023,02/15/2023,Computer Software and Svcs
GOOGL,Pipe bottom,0,02/21/2023,02/27/2023,Internet
GGG,"Triangle, descending",0,02/09/2023,03/09/2023,Machinery
GFF,Head-and-shoulders top,0,01/18/2023,02/16/2023,Building Materials
HSC,Horn top,0,02/13/2023,02/27/2023,Diversified Co.
HAYN,"Triangle, symmetrical",0,01/24/2023,02/28/2023,Building Materials
HNI,Head-and-shoulders top,0,02/03/2023,03/03/2023,Furn/Home Furnishings
DHI,Broadening bottom,0,02/22/2023,03/03/2023,Homebuilding
HOV,Pipe bottom,0,02/13/2023,02/21/2023,Homebuilding
INTC,"Scallop, descending",0,02/15/2023,03/06/2023,Semiconductor
IPG,Pipe top,0,01/30/2023,02/06/2023,Advertising
MANH,"Double Top, Eve and Eve",0,02/15/2023,03/06/2023,IT Services
MA,"Double Bottom, Adam and Adam",0,02/24/2023,03/01/2023,Financial Services
MTRX,"Scallop, descending",0,02/07/2023,03/06/2023,Oilfield Svcs/Equipment
NXGN,"Double Top, Adam and Adam",0,02/02/2023,02/15/2023,Healthcare Information
ORI,Triple top,0,01/26/2023,02/28/2023,Insurance (Prop/Casualty)
PYPL,"Scallop, descending",0,02/02/2023,03/06/2023,Financial Services
PGR,"Broadening top, right-angled and ascending",0,02/17/2023,03/09/2023,Insurance (Prop/Casualty)
QTWO,Three Falling Peaks,0,02/02/2023,03/03/2023,E-Commerce
SAIC,"Double Top, Eve and Eve",0,02/16/2023,03/03/2023,IT Services
SMG,"Double Top, Adam and Adam",0,02/16/2023,03/06/2023,Chemical (Basic)
SIGI,Triple top,0,02/07/2023,02/28/2023,Insurance (Prop/Casualty)
SHOP,Pipe bottom,0,02/21/2023,02/27/2023,E-Commerce
SCCO,Broadening top,0,02/09/2023,03/03/2023,Metals and Mining (Div.)
V,"Double Bottom, Adam and Adam",0,02/24/2023,03/01/2023,Financial Services
WERN,Broadening bottom,0,02/14/2023,03/06/2023,Trucking/Transp. Leasing
ATSG,Dead-cat bounce,0,02/24/2023,02/24/2023,Air Transport
AMWD,Three Falling Peaks,0,02/02/2023,02/27/2023,Building Materials
AAPL,"Double Top, Adam and Adam",0,02/03/2023,02/16/2023,Computers and Peripherals
AVNT,Pipe bottom,0,02/06/2023,02/13/2023,Chemical (Specialty)
BMI,"Broadening top, right-angled and descending",0,02/07/2023,02/28/2023,Precision Instrument
BIG,"Double Top, Adam and Adam",0,01/13/2023,02/02/2023,Retail Store
BMY,"Double Top, Adam and Adam",0,01/24/2023,02/06/2023,Drug
BRKR,Pipe top,0,02/06/2023,02/13/2023,Precision Instrument
CHS,Ugly double bottom,0,01/19/2023,02/24/2023,Apparel
CMI,Broadening top,0,01/31/2023,02/24/2023,Machinery
ECL,Broadening top,0,01/12/2023,02/16/2023,Chemical (Specialty)
EXPD,"Double Bottom, Adam and Adam",0,02/21/2023,03/01/2023,Air Transport
FMC,"Triangle, symmetrical",0,02/06/2023,03/02/2023,Chemical (Basic)
GPS,Pipe top,0,01/30/2023,02/06/2023,Apparel
GILD,Three Falling Peaks,0,12/13/2022,02/13/2023,Biotechnology
GMS,Broadening top,0,02/02/2023,03/02/2023,Cement and Aggregates
GS,Diamond top,0,02/02/2023,02/16/2023,Securities Brokerage
HSIC,Horn top,0,01/30/2023,02/13/2023,Medical Supplies
NVTA,Dead-cat bounce,0,03/01/2023,03/01/2023,Medical Services
K,"Broadening top, right-angled and ascending",0,01/20/2023,02/22/2023,Food Processing
KSS,Head-and-shoulders top,0,01/26/2023,02/15/2023,Retail Store
LH,Triple top,0,01/24/2023,02/17/2023,Medical Services
MTSI,Ugly double bottom,0,01/20/2023,02/03/2023,Semiconductor
NXGN,"Double Top, Adam and Adam",0,02/02/2023,02/15/2023,Healthcare Information
NI,"Double Bottom, Adam and Adam",0,02/09/2023,02/16/2023,Electric Utility (Central)
ON,Pipe top,0,02/06/2023,02/13/2023,Semiconductor
OMI,Dead-cat bounce,0,02/28/2023,02/28/2023,Medical Supplies
PCTY,Pipe top,0,01/30/2023,02/06/2023,E-Commerce
PINC,"Double Top, Adam and Eve",0,02/02/2023,02/21/2023,Healthcare Information
PEG,Head-and-shoulders complex top,0,12/01/2022,02/27/2023,Electric Utility (East)
RRC,Triple bottom,0,01/04/2023,02/21/2023,Petroleum (Producing)
RNG,Horn top,0,01/30/2023,02/13/2023,Computer Software and Svcs
ROP,Falling wedge,0,12/20/2022,02/16/2023,Industrial Services
ROST,"Double Top, Adam and Eve",0,01/06/2023,01/27/2023,Retail (Special Lines)
SKX,"Double Bottom, Eve and Eve",0,02/08/2023,02/24/2023,Shoe
SMAR,"Triangle, symmetrical",0,02/02/2023,03/02/2023,E-Commerce
SR,Pipe top,0,01/30/2023,02/06/2023,Natural Gas (Distributor)
SUM,Horn top,0,01/30/2023,02/13/2023,Cement and Aggregates
TDOC,Head-and-shoulders top,0,01/24/2023,02/15/2023,Healthcare Information
TDC,Pennant,0,02/16/2023,02/28/2023,Computer Software and Svcs
TREX,"Double Top, Adam and Adam",0,02/02/2023,02/09/2023,Building Materials
SLCA,Pipe bottom,0,02/13/2023,02/21/2023,Metals and Mining (Div.)
WWW,Pipe bottom,0,02/06/2023,02/13/2023,Shoe
DOX,Triple top,0,02/01/2023,04/12/2023,IT Services
ADP,"Triangle, symmetrical",0,03/06/2023,04/21/2023,IT Services
AVNT,"Double Top, Adam and Eve",0,04/03/2023,04/12/2023,Chemical (Specialty)
BERY,"Double Top, Adam and Eve",0,04/03/2023,04/18/2023,Packaging and Container
BBW,Pipe top,0,04/10/2023,04/17/2023,Retail (Special Lines)
CALM,Pipe top,0,03/27/2023,04/03/2023,Food Processing
CE,"Double Top, Adam and Eve",0,04/03/2023,04/14/2023,Chemical (Basic)
CVX,Head-and-shoulders top,0,04/03/2023,04/24/2023,Petroleum (Integrated)
CINF,"Double Top, Adam and Eve",0,03/21/2023,04/03/2023,Insurance (Prop/Casualty)
CTAS,"Double Top, Adam and Adam",0,03/30/2023,04/18/2023,Industrial Services
CLF,"Scallop, ascending and inverted",0,11/03/2022,12/19/2022,Metals and Mining (Div.)
CROX,Dead-cat bounce,0,04/27/2023,04/27/2023,Shoe
CTS,Pipe top,0,03/27/2023,04/03/2023,Electronics
CW,"Double Top, Adam and Adam",0,04/03/2023,04/18/2023,Machinery
DTE,Ugly double bottom,0,03/23/2023,04/13/2023,Electric Utility (Central)
EPAM,"Double Top, Eve and Eve",0,04/03/2023,04/13/2023,IT Services
EXC,Ugly double bottom,0,03/23/2023,04/14/2023,Electric Utility (East)
FDS,Ugly double bottom,0,03/23/2023,04/10/2023,Information Services
FICO,Pipe bottom,0,03/13/2023,03/20/2023,IT Services
FLEX,Pipe top,0,03/27/2023,04/03/2023,Electronics
FTV,"Double Top, Adam and Adam",0,04/03/2023,04/14/2023,Industrial Services
GILD,Ugly double bottom,0,03/17/2023,04/12/2023,Biotechnology
GFS,"Double Top, Adam and Adam",0,02/14/2023,03/31/2023,Semiconductor
HLIT,Pipe top,0,04/10/2023,04/17/2023,Telecom. Equipment
HQY,Three Falling Peaks,0,03/22/2023,04/17/2023,Healthcare Information
HSIC,"Double Top, Adam and Adam",0,04/11/2023,04/25/2023,Medical Supplies
KFRC,Pipe top,0,04/10/2023,04/17/2023,Human Resources
LANC,Three Rising Valleys,0,02/02/2023,04/17/2023,Food Processing
MGY,"Double Top, Adam and Eve",0,04/04/2023,04/17/2023,Petroleum (Producing)
MGEE,Head-and-shoulders top,0,03/20/2023,04/21/2023,Electric Utility (Central)
^IXIC,"Double Top, Eve and Eve",0,03/31/2023,04/18/2023,None
NTGR,Dead-cat bounce,0,04/27/2023,04/27/2023,Telecom. Equipment
NTAP,Pipe top,0,04/10/2023,04/17/2023,Computers and Peripherals
NOVT,Head-and-shoulders top,0,03/31/2023,04/24/2023,Precision Instrument
PANW,Broadening top,0,03/21/2023,04/18/2023,Computer Software and Svcs
PDCO,Rectangle bottom,0,03/22/2023,04/27/2023,Medical Supplies
PEN,Broadening top,0,04/03/2023,04/18/2023,Medical Supplies
KWR,"Double Top, Adam and Eve",0,04/03/2023,04/12/2023,Chemical (Specialty)
DGX,Ugly double bottom,0,03/17/2023,04/19/2023,Medical Services
REGN,Triple top,0,03/29/2023,04/13/2023,Biotechnology
SAIA,Pipe bottom,0,04/03/2023,04/10/2023,Trucking/Transp. Leasing
SEE,"Scallop, ascending and inverted",0,03/24/2023,04/26/2023,Packaging and Container
LUV,Head-and-shoulders top,0,03/31/2023,04/20/2023,Air Transport
SPLK,Head-and-shoulders top,0,03/21/2023,04/18/2023,E-Commerce
SPSC,Triple top,0,04/04/2023,04/24/2023,E-Commerce
TDC,"Double Top, Eve and Eve",0,04/04/2023,04/18/2023,Computer Software and Svcs
TXN,Head-and-shoulders top,0,03/23/2023,04/18/2023,Semiconductor
RIG,Head-and-shoulders top,0,03/29/2023,04/13/2023,Oilfield Svcs/Equipment
TREX,Head-and-shoulders bottom,0,03/17/2023,04/05/2023,Building Materials
UGI,Head-and-shoulders top,0,04/03/2023,04/21/2023,Natural Gas (Distributor)
VFC,Ugly double bottom,0,03/24/2023,04/10/2023,Apparel
WMT,Ugly double bottom,0,03/10/2023,04/14/2023,Retail Store
WLK,"Double Top, Adam and Eve",0,04/03/2023,04/14/2023,Chemical (Basic)
WMB,Head-and-shoulders top,0,04/03/2023,04/24/2023,Natural Gas (Distributor)
WOLF,Dead-cat bounce,0,04/27/2023,04/27/2023,Semiconductor
IGV,"Double Top, Eve and Eve",0,04/04/2023,04/18/2023,Computer Software and Svcs
SOXX,"Double Top, Eve and Eve",0,03/23/2023,03/31/2023,Semiconductor
XLK,"Double Top, Eve and Eve",0,04/04/2023,04/18/2023,IT Services
APD,Ugly double bottom,0,03/24/2023,04/10/2023,Chemical (Diversified)
ALK,Ugly double bottom,0,03/24/2023,04/13/2023,Air Transport
AA,Rectangle bottom,0,03/15/2023,04/20/2023,Aerospace/Defense
AEL,Ugly double bottom,0,03/16/2023,04/05/2023,Insurance (Life)
AFG,Pipe bottom,0,03/13/2023,03/20/2023,Insurance (Prop/Casualty)
ARW,Pipe top,0,03/27/2023,04/03/2023,Electronics
AXS,"Double Bottom, Eve and Adam",0,03/17/2023,03/24/2023,Insurance (Prop/Casualty)
BECN,Pipe bottom,0,04/03/2023,04/10/2023,Retail Building Supply
BRC,Roof,0,03/15/2023,04/20/2023,Chemical (Diversified)
CLS,"Triangle, symmetrical",0,03/03/2023,04/19/2023,Electronics
CNA,Pipe bottom,0,03/13/2023,03/20/2023,Insurance (Prop/Casualty)
CTSH,Diamond top,0,04/03/2023,04/19/2023,IT Services
CSGP,Rising wedge,0,03/16/2023,04/19/2023,Information Services
RE,Pipe bottom,0,03/13/2023,03/20/2023,Insurance (Prop/Casualty)
FIS,"Double Bottom, Eve and Adam",0,03/16/2023,03/24/2023,Computer Software and Svcs
GES,Pipe bottom,0,03/20/2023,03/27/2023,Apparel
HOV,Pipe bottom,0,03/13/2023,03/20/2023,Homebuilding
INFN,"Double Top, Adam and Eve",0,03/14/2023,03/31/2023,Telecom. Equipment
IBP,Triple bottom,0,03/16/2023,04/06/2023,Retail Building Supply
PODD,"Triangle, symmetrical",0,03/21/2023,04/14/2023,Medical Supplies
IBKR,Pipe bottom,0,03/13/2023,03/20/2023,Securities Brokerage
RAMP,Ugly double bottom,0,03/24/2023,04/12/2023,Computer Software and Svcs
LPLA,Pipe bottom,0,04/03/2023,04/10/2023,Securities Brokerage
MAN,Head-and-shoulders top,0,03/21/2023,04/18/2023,Human Resources
MS,Head-and-shoulders bottom,0,03/16/2023,04/06/2023,Securities Brokerage
MOS,Ugly double bottom,0,03/24/2023,04/06/2023,Chemical (Diversified)
NTNX,Rectangle bottom,0,03/10/2023,04/20/2023,E-Commerce
ORI,Rising wedge,0,03/14/2023,04/20/2023,Insurance (Prop/Casualty)
OMCL,Pipe bottom,0,03/06/2023,03/13/2023,Healthcare Information
OMC,"Double Top, Adam and Adam",0,04/04/2023,04/18/2023,Advertising
OUT,Ugly double bottom,0,03/24/2023,04/10/2023,Advertising
OXM,"Double Bottom, Adam and Adam",0,04/10/2023,04/13/2023,Apparel
PG,Pennant,0,04/06/2023,04/20/2023,Household Products
QCOM,Head-and-shoulders top,0,03/23/2023,04/11/2023,Telecom. Equipment
RJF,Pipe bottom,0,03/13/2023,03/20/2023,Securities Brokerage
RTX,"Double Bottom, Eve and Adam",0,03/13/2023,03/24/2023,Aerospace/Defense
RGA,"Double Bottom, Eve and Adam",0,03/17/2023,03/24/2023,Insurance (Life)
SCHW,"Double Bottom, Adam and Adam",0,04/05/2023,04/17/2023,Securities Brokerage
SRE,Ugly double bottom,0,03/23/2023,04/13/2023,Electric Utility (West)
TRGP,Pipe bottom,0,03/13/2023,03/20/2023,Natural Gas (Diversified)
UIS,Ugly double bottom,0,03/24/2023,04/10/2023,Computers and Peripherals
UNM,Pipe bottom,0,03/13/2023,03/20/2023,Insurance (Diversified)
VECO,"Triangle, symmetrical",0,02/16/2023,04/03/2023,Precision Instrument
WEX,Ugly double bottom,0,03/24/2023,04/06/2023,Information Services
MMM,Triple bottom,0,03/15/2023,04/10/2023,Diversified Co.
ADTN,Dead-cat bounce,0,04/11/2023,04/11/2023,Telecom. Equipment
A,Head-and-shoulders bottom,0,03/02/2023,04/10/2023,Precision Instrument
AMZN,Ugly double bottom,0,03/13/2023,03/28/2023,Internet
AMED,Head-and-shoulders bottom,0,03/17/2023,03/30/2023,Medical Services
AEP,"Double Bottom, Adam and Adam",0,03/01/2023,03/23/2023,Electric Utility (Central)
AFG,"Double Bottom, Adam and Adam",0,03/15/2023,03/24/2023,Insurance (Prop/Casualty)
APOG,Pipe bottom,0,03/13/2023,03/20/2023,Building Materials
ARCB,"Double Bottom, Adam and Adam",0,03/20/2023,04/05/2023,Trucking/Transp. Leasing
AIZ,Pipe bottom,0,03/13/2023,03/20/2023,Insurance (Diversified)
AVY,Head-and-shoulders bottom,0,03/13/2023,03/24/2023,Packaging and Container
AVNT,Pipe bottom,0,03/13/2023,03/20/2023,Chemical (Specialty)
AVA,Triple bottom,0,03/01/2023,03/24/2023,Electric Utility (West)
BCPC,"Double Bottom, Adam and Adam",0,03/24/2023,03/31/2023,Chemical (Specialty)
BECN,Broadening bottom,0,03/15/2023,04/12/2023,Retail Building Supply
BKH,"Double Bottom, Adam and Adam",0,03/10/2023,03/23/2023,Electric Utility (West)
CNP,Triple bottom,0,03/01/2023,03/23/2023,Electric Utility (Central)
CF,Pipe bottom,0,03/20/2023,03/27/2023,Chemical (Basic)
CRL,Triple bottom,0,03/17/2023,04/06/2023,Biotechnology
CLNE,Head-and-shoulders bottom,0,03/13/2023,04/04/2023,Natural Gas (Distributor)
CLF,Broadening bottom,0,03/21/2023,04/12/2023,Metals and Mining (Div.)
CNA,"Double Bottom, Adam and Adam",0,03/15/2023,03/24/2023,Insurance (Prop/Casualty)
CNX,"Double Bottom, Adam and Adam",0,02/22/2023,03/15/2023,Natural Gas (Diversified)
CGNX,Rectangle bottom,0,02/21/2023,04/13/2023,Precision Instrument
CMTL,"Triangle, symmetrical",0,03/13/2023,04/04/2023,Telecom. Equipment
CROX,Ugly double bottom,0,03/13/2023,03/27/2023,Shoe
CMI,Broadening bottom,0,03/15/2023,04/05/2023,Machinery
DHR,Head-and-shoulders bottom,0,03/02/2023,03/24/2023,Medical Services
DFS,"Double Bottom, Adam and Adam",0,03/16/2023,03/24/2023,Financial Services
D,Broadening bottom,0,03/02/2023,03/23/2023,Electric Utility (East)
DOV,Pipe bottom,0,03/13/2023,03/20/2023,Machinery
DRQ,"Double Bottom, Adam and Adam",0,03/16/2023,03/24/2023,Oilfield Svcs/Equipment
DTE,"Double Bottom, Adam and Adam",0,03/10/2023,03/23/2023,Electric Utility (Central)
DUK,Triple bottom,0,03/02/2023,03/23/2023,Electric Utility (East)
ELV,Head-and-shoulders bottom,0,03/15/2023,03/30/2023,Medical Services
RE,"Double Bottom, Eve and Adam",0,03/15/2023,03/24/2023,Insurance (Prop/Casualty)
EVH,"Double Bottom, Eve and Adam",0,03/15/2023,03/24/2023,Healthcare Information
XOM,Pipe bottom,0,03/13/2023,03/20/2023,Petroleum (Integrated)
FFIV,Head-and-shoulders bottom,0,02/24/2023,03/28/2023,Internet
FICO,Rectangle top,0,02/02/2023,04/13/2023,IT Services
FE,"Double Bottom, Adam and Adam",0,03/13/2023,03/23/2023,Electric Utility (East)
FLS,Pipe bottom,0,03/13/2023,03/20/2023,Machinery
FMC,Three Rising Valleys,0,03/16/2023,04/06/2023,Chemical (Basic)
FCX,Head-and-shoulders bottom,0,02/24/2023,04/05/2023,Metals and Mining (Div.)
IT,Pipe bottom,0,03/13/2023,03/20/2023,IT Services
